group,function,value,sample_time_nanos,iteration_count
[940c17e] Louds::from::<&[bool]>(&[...(bin tree of N nodes)]) 10 times,,4096,84307216.0,70
[940c17e] Louds::from::<&[bool]>(&[...(bin tree of N nodes)]) 10 times,,4096,165522301.0,140
[940c17e] Louds::from::<&[bool]>(&[...(bin tree of N nodes)]) 10 times,,4096,241894126.0,210
[940c17e] Louds::from::<&[bool]>(&[...(bin tree of N nodes)]) 10 times,,4096,329766055.0,280
[940c17e] Louds::from::<&[bool]>(&[...(bin tree of N nodes)]) 10 times,,4096,412403319.0,350
[940c17e] Louds::from::<&[bool]>(&[...(bin tree of N nodes)]) 10 times,,4096,493239299.0,420
[940c17e] Louds::from::<&[bool]>(&[...(bin tree of N nodes)]) 10 times,,4096,578516406.0,490
[940c17e] Louds::from::<&[bool]>(&[...(bin tree of N nodes)]) 10 times,,4096,661497407.0,560
[940c17e] Louds::from::<&[bool]>(&[...(bin tree of N nodes)]) 10 times,,4096,742339705.0,630
[940c17e] Louds::from::<&[bool]>(&[...(bin tree of N nodes)]) 10 times,,4096,826777845.0,700
