group,function,value,sample_time_nanos,iteration_count
[940c17e] Louds(N)::parent_to_children() 10000 times,,4096,91578565.0,6
[940c17e] Louds(N)::parent_to_children() 10000 times,,4096,178189247.0,12
[940c17e] Louds(N)::parent_to_children() 10000 times,,4096,269600331.0,18
[940c17e] Louds(N)::parent_to_children() 10000 times,,4096,358796734.0,24
[940c17e] Louds(N)::parent_to_children() 10000 times,,4096,447609275.0,30
[940c17e] Louds(N)::parent_to_children() 10000 times,,4096,540845766.0,36
[940c17e] Louds(N)::parent_to_children() 10000 times,,4096,628098909.0,42
[940c17e] Louds(N)::parent_to_children() 10000 times,,4096,710806418.0,48
[940c17e] Louds(N)::parent_to_children() 10000 times,,4096,805726423.0,54
[940c17e] Louds(N)::parent_to_children() 10000 times,,4096,895223831.0,60
