group,function,value,sample_time_nanos,iteration_count
[940c17e] Louds(N)::parent_to_children() 10000 times,,32768,91069210.0,5
[940c17e] Louds(N)::parent_to_children() 10000 times,,32768,183303314.0,10
[940c17e] Louds(N)::parent_to_children() 10000 times,,32768,275888947.0,15
[940c17e] Louds(N)::parent_to_children() 10000 times,,32768,367610171.0,20
[940c17e] Louds(N)::parent_to_children() 10000 times,,32768,460170530.0,25
[940c17e] Louds(N)::parent_to_children() 10000 times,,32768,551792916.0,30
[940c17e] Louds(N)::parent_to_children() 10000 times,,32768,643222652.0,35
[940c17e] Louds(N)::parent_to_children() 10000 times,,32768,731766362.0,40
[940c17e] Louds(N)::parent_to_children() 10000 times,,32768,821458677.0,45
[940c17e] Louds(N)::parent_to_children() 10000 times,,32768,921087390.0,50
